,val_loss,val_acc,loss,acc
0,1161.3852079713345,0.0128125,1655.1362775124585,0.016611295681063124
1,936.0609132194519,0.0365625,1384.3220843445026,0.019933554817275746
2,719.2921558380127,0.0253125,1013.5984920869238,0.013289036544850499
3,630.0632402420044,0.0209375,679.4247060376545,0.013289036544850499
4,640.7113801574707,0.0103125,493.4060020066575,0.019933554941039544
5,685.1340663146973,0.0053125,413.6766878552611,0.016611295681063124
6,702.7678829956054,0.00625,393.55053183723527,0.006644518272425249
7,692.2951071166992,0.006875,376.34733221618046,0.006644518272425249
8,697.1161550903321,0.0096875,367.05337169558504,0.02325581407725217
9,664.2162141418457,0.0090625,362.1894388293903,0.023255813953488372
10,675.2902207946777,0.006875,352.7209216146374,0.016611295681063124
11,722.6267001342774,0.0034375,346.95874124824803,0.019933554817275746
12,670.4487661743165,0.0040625,343.84707357717116,0.023255813953488372
13,623.0253197479248,0.0075,336.4633926949232,0.016611295681063124
14,684.9706246948242,0.0040625,337.54557714113764,0.019933554817275746
15,650.3314391326904,0.00625,329.9297717528486,0.023255813953488372
16,663.2128353118896,0.0053125,325.27839361551986,0.016611295681063124
17,656.9899040222168,0.0078125,324.81243252675,0.026578073213464795
18,647.5075212860107,0.0059375,319.2915263128439,0.016611295681063124
19,652.4340065002441,0.0059375,320.4266387838066,0.009966777532401671
20,675.7879043579102,0.0046875,316.4093809412959,0.009966777408637873
21,649.0670294189454,0.0040625,311.98141986428703,0.023255813953488372
22,650.7928506469726,0.004375,311.8537478019233,0.0033222591362126247
23,621.3694527435302,0.005625,306.22655955976825,0.019933554941039544
24,631.3596730804443,0.006875,303.43588403847525,0.019933554817275746
25,689.4006411743164,0.0071875,304.22710421235854,0.016611295681063124
26,649.25482711792,0.005625,303.0017116204449,0.013289036544850499
27,697.4361203002929,0.0034375,296.7584713146932,0.033222591485890046
28,642.6549140930176,0.006875,295.78688541044824,0.01661129580482692
29,668.8625430297851,0.0040625,293.5506622213066,0.023255813953488372
30,678.5184953308105,0.005,290.50107734147895,0.019933554817275746
31,652.209429321289,0.00625,289.7466147286551,0.02325581407725217
